project_id,project,description,ticker
PRO34,TotemFi,TotemFi is a Decemberentralised Finance (DeFi) prediction platform which offers Bitcoin and native token rewards. The Decemberentralised Application (dApp) will utilise blockchain technology to solve issues with traditional Marchkets.,TOTM
PRO35,Gains Associates,"GAINS stands for Group Action Is Never Small, embodying the collaboration spirit which is the essence of blockchain and Decemberentralization. Everyone gets the opportunity to invest while projects get long term support from a strong community.",GAINS
PRO36,Casper,"Casper is a proof of stake blockchain network optimized for enterprise and developer adoption. The Casper Network is the first live blockchain built off the Correct-by-Construction (CBC) Casper specification, allowing the network to create sustainable new Marchkets and unlock value by tokenizing nearly any asset without compromising performance or security.",CSPR
PRO37,Findora,Findora’s mission is to build a Decemberentralized financial network for issuing confidential assets and sMarcht contracts. Findora has created a system that achieves privacy-preserving transparency. Its flexible technology can also be used by institutions to replace their current infrastructure or deploy in the cloud - all interoperable with the public Findora network.,FRA
PRO38,Polkalokr,"Polkalokr is the first all-in-one, multi-chain token locking & escrow platform with built-in privacy functionality. Our products help build trust within the Defi space by removing the human element and focusing on governance through code, with a seamless, omni-channel digital experience platform accessible via mobile, tablet and desktop.",LKR
PRO39,Boson Protocol,"Boson Protocol enables sMarcht contracts to execute real world commerce transactions and input commerce data, reliably and autonomously.",BOSON
PRO40,CryptoNovemberae,CryptoNovemberae is a high-industry standard trading-platform.,YAE
PRO41,Tokocrypto,"Tokocrypto's vision is to help Indonesians gain a broader knowledge of the industry and to integrate the technology into the society and subsequently, the global economy. Tokocrypto will be the first local Indonesian cryptocurrency project to offer a unique hybrid token model.",TKO
PRO42,YellowRoad,"Yellow Road is a bright, unique, and engaging IDO platform to empower the most inNovemberative crypto projects by leveraging the power of community.",ROAD
PRO43,Rage.fan,Rage.Fan is a fan-first Decemberentralized sports platform. Rage Fan is built on the Binance platform and blockchain technology. The platform aims to create a transparent system where the user Decemberisions and teams are etched in sMarcht contracts. Systems can't manipulate the outcome. The Rage.Fan platform brings in both the online sports format of fantasy sports and predictions Marchkets in the same portal. Users can access subsequently and play via web and mobile platforms.,RAGE
PRO44,Ethereum Push Notification Service,Ethereum Push Notification Service (EPNS) is a Decemberentralized notification protocol that enables users (wallet addresses) to receive notifications and obtain token incentives through active participation.,PUSH
PRO45,MOAR Finance,MOAR Finance is a DeFi lending platform built to unlock the power of inter-chain derivatives primitives.,MOAR
PRO46,Raze Network,"Raze Network is a Substrate-based, cross-chain privacy protocol for the Polkadot ecosystem.",RAZE
PRO47,Rocket Vault,Rocket Vault aims to change the world through the use of Applied AI & ML in Crypto Value Investing. Rocket Vault is the brainchild of a few dedicated experts from around the world who adopt a data-driven approach to originate unique vault strategies to minimize losses and maximize gains to provide the best APY.,RVF
PRO48,Kattana,"Kattana is the trading terminal you have been dreaming of, cutting edge trading tools for Cefi AND Defi enviroments for both pro and beginners.",KTN
PRO49,​​Genesis Shards,"Genesis Shards is a Decemberentralized ecosystem powered by Polkadot redefining NFTs as DeFi options, creating a permissionless environment of interchain liquidity for pre-IDO tokens.",GS
PRO50,Mina Protocol,"Mina is the world's lightest blockchain, powered by participants.",MINA
PRO51,Kianite,"Kianite is building a community governed DeFi protocol ecosystem. DeFi has created new opportunities for a vast number of people globally. We believe that the best way to benefit from this new opportunity is to add value to the people that make DeFi possible, and that is the community.",KIAN
PRO52,KelVPN,KelVPN is a Decemberentralized VPN based on the Cellframe Network protocol and realized as a t-dApp in the Cellframe ecosystem and inhabits the first Cellchain (KEL-testnet).,KEL
PRO53,DisBalancer,DisBalancer is a Decemberentralized network that provides DDoS Resistance service and Decemberentralized load balancer for infrastructure.,DDOS
PRO54,DeHive,"DeHive is a Decemberentralized protocol that allows the user to become a holder of the top DeFi tokens packed into one index with one click. The index represents noticeable and impactful DeFi assets, which we use to evaluate the economic health of the crypto-Marchket. That is why making a single operation can bring you all the benefits of the full basket of crypto-assets.",DHV
PRO55,ChainSwap,"ChainSwap is a cross-chain asset bridge and application hub for sMarcht chains. ChainSwap allows projects to seamlessly bridge between ETH, BSC and HECO.",TOKEN
PRO56,UniFarm,"UniFarm is staking solution where the best projects in DeFi space come together to provide value to investors. The platform allows you to stake one token but earn multiple high-value tokens. So in addition to a great APY, your returns are automatically diversified as well.",UFARM
PRO57,Melalie,"Melalie is a peer-to-peer (P2P) mobility Marchketplace. On the Melalie platform, people can rent vehicles — bikes, scooters, motorbikes, cars, vans, and trucks — from each other, without the need for intermediaries.",MEL
PRO58,​​Crowny,"Crowny is a platform that allows users to interact and engage with their favorite brands in new ways than ever before, rewarding those loyal to the brand and ensuring that brands reach a larger target audience.",CRWNY
PRO59,BSCStation,BSC Station (BSCS) aims to build a Full-Stack DEFI with NFT Auction on the Binance SMarcht Chain. It will become economy infrastructure for DeFi and NFT powered by Binance SMarcht Chain. The Infrastructure for DeFi & NFT Powered by BSC.,BSCS
PRO60,Refinable,"At Refinable, we are unlocking the potential of NFTs for all users. As the first major NFT hub built on BSC, we're building the definitive platform to create, discover, trade, and leverage any digital content on the blockchain",FINE
PRO61,Busy,"Busy is a Decemberentralized and distributed blockchain engine for e-commerce platforms. We are developing a Decemberentralized platform for freelancers, but the blockchain engine will be available to everyone who will see an advantage in it through sMarcht contracts.",BUSY
PRO62,Ares Protocol,Ares is an on-chain-verified oracle protocol that provides secure and reliable data services for the Polkadot DeFi ecosystem.,ARES
PRO63,Showcase,"Showcase is a social app where fans purchase, trade, and collect Limited edition NFT badges created by their favorite micro-influencers.",SHO
PRO64,Blockswap,BlockSwap is a protocol bringing fixed income products to DeFi on PoS Assets.,cBSN
PRO65,Mochi.Marchket,"Mochi.Marchket is a fully-Decemberentralized multi-chain NFT exchange ecosystem. The Mochi.Marchket will be launched initially on Binance SMarcht Chain (“BSC”), followed by other chains such as Harmony, Solana, Ethereum, Polkadot, Cosmos, Near, and popular layer 2 protocols.",MOMA
PRO66,Smoothy,"Smoothy is a Novemberel solution for swapping assets that are effectiverly backed by the same underlying assets (e.g., stablecoins) with a single pool, comprising a set of interoperable protocol sMarcht contracts deployed on the Ethereum-compatible blockchains, and offers.",SMTY
PRO67,​​Legends of Crypto,Legends Of Crypto is a brand new NFT collectible and trading card game that runs on top of Decemberentralized blockchain; supported by Ethereum and Matic Networks.,LOCG
PRO68,Standard,Standard Protocol is a Collateralized Rebasable Stablecoin (CRS) protocol for synthetic assets operating across the Polkadot ecosystem.,STND
PRO69,UnoRe,"Reinsurance is the process of one entity (the reinsurer) taking on all or part of the risk covered under a policy issued by an insurance company in consideration of a premium payment. In other words, it is insurance for insurance companies.",UNO
PRO70,BlackHole Protocol,"Black Hole is an approval-free Decemberentralized & cross-chain burning protocol, inNovemberator of perpetual deflationary blockchain ecosystem.",BLACK
PRO71,Covalent,"Blockchains provides a new frontier of development for enterprises, consumers and software developers. Due to its Decemberentralized architecture, immutable ledger and highly secure framework, applications of the technology will impact industries ranging from finance and retail to personal identity and cryptocurrency.",CQT
PRO72,XFai,XFai is a set of autonomous liquidity management sMarcht contracts (strategies) for tokens with low trade volumes and Marchket caps. XFai allows holders of 'small cap' tokens to earn returns on their 'small cap' tokens when providing liquidity and therefore increase their position in those projects.,XFIT
PRO73,The Crypto Prophecies,The Crypto Prophecies is a gamified price battling game that uses NFT characters called Crypto Prophets.,TCP
PRO74,WeStarter,WeStarter is a cross-chain token initial swap platform which based on HECO network.,WAR
PRO75,NFT Alley,"NFT Alley is a Decemberentralized “one-stop-shop” for minting, purchasing, and selling digital collectibles seamlessly. It is an early-stage avant-garde multi-chain NFT Marchketplace that pushes the bounds of open finance.",ALLEY
PRO76,Gitcoin,"Gitcoin is a platform for you to get paid for working on open source software in Python, Rust, Ruby, JavaScript, Solidity, HTML, CSS, Design, and more. Gitcoin is a bazaar where you can find funding for your code, or code if you're a funder.",
PRO77,CLV,"CLV is a layer 1 blockchain, sMarcht contract platform, multi-chain DeFi hub, cross-chain wallet.",CLV
PRO78,XCAD Network,XCAD Network is a Zilliqa-powered global platform harnessing the power and value of content creator audiences with the aid of tokenization and NFT technology.,XCAD
PRO79,Bulk,Bulk is a community-driven Decemberentralized Venture Platform.,BULK
PRO80,NAOS Finance,NAOS Finance facilitates DeFi lenders and SME borrowers to allow both parties to interact in a permission-less manner on the blockchain.,NAOS
PRO81,Nftfy,Nftfy is a robust Decemberentralized open Marchketplace that enables anyone to effortlessly monetize digital assets with no coding skills required.,NFTFY
PRO82,Maple,Maple is a Decemberentralized corporate credit Marchket. Maple provides capital to institutional borrowers through globally accessible fixed-income yield opportunities.,MPL
PRO83,Lever,"Lever is the first AMM-based Decemberentralized Marchgin trading platform on Ethereum, where users can easily earn interest through lending and perform leveraged trading.",LEV
PRO84,TrustPad,TrustPad is a multi-chain DeFi protocol allowing projects to raise funds in a safe way.,TPAD
PRO85,Sienna Network,"Sienna Network is a privacy-first Decemberentralised finance protocol that enables trustless financial instruments, such as trading and lending with complete privacy.",SIENNA
PRO86,Oiler Network,Oiler Protocol provides instruments for trading/betting on changes in blockchain protocol parameters. Blockchain Native Derivatives Hedging Gas and Network Shocks.,OIL
PRO87,Ispolink,"Ispolink is a Novemberel cross-chain platform, powered by Binance SMarcht Chain & Polygon, that connects blockchain firms with leading tech talents seamlessly.",ISP
PRO88,AlienWorlds,"Alien Worlds is a simulated economy where players compete for the scarce resource, Trilium (TLM), which they use to enhance their power in the game by staking and voting in Planet Decemberentralized Autonomous Organizations (Planet DAOs).",TLM
PRO89,Trade Race Manager,"Trade Race Manager is the first crypto gaming and brand new blockchain game powered by IOI and NFTs, where you can collect, trade, race and earn.",IOI
PRO90,Polylastic,"Polylastic is a Elastic Finance Aggregator, powered by Binance SMarcht Chain.",POLX
PRO91,PERI Finance,PERI Finance is a Decemberentralized cross-chain synthetic issuance and derivative exchange protocol that provides unlimited liquidity on Polkadot network.,
PRO92,TeraBlock,"Machine Learning driven, personalised automated cryptocurrency portfolio trade automation to help you easily manage your assets.",TBC
PRO93,TradeStars,TradeStars is a Fantasy Sports platform where Fractional NFT Marchkets enable a DeFi gamification system for trading digital assets that represent real-life stats of athletes’ performances.,TSX
PRO94,Dfyn,Dfyn is a multichain AMM DEX currently functional on the Polygon network. Dfyn nodes on various chains act as liquidity entry and exit points into the cross-chain liquidity super mesh that is being enabled by Router Protocol.,DFYN
PRO95,Wilder World,"Wilder World is a Decemberentralized artist DAO and liquid NFT Marchketplace. Through its multiple layers, it offers a variety of applications that allow for a more holistic user experience for artists and collectors alike.",WILD
PRO96,Roseon Finance,Roseon Finance is a hybrid solution that bridges Decemberentralized (DeFi) and centralized financial services (CeFi).,ROSN
PRO97,Metis,"Based on the spirit of Optimistic Rollup, Metis is building an easy-to-use, highly scalable, low-cost, and fully functional Layer 2 framework (Metis Rollup) to fully support the application and business migration from Web 2.0 to Web 3.0.",METIS
PRO98,ProStarter,"ProStarter is that transparent DeFi platform for its crypto community which is quite different from the others. This platform has core features like Live IDO Whitelisting, Time-bound Guaranteed Allocation, One Time KYC, Premium Projects, PRO Kings, and NFT Marchketplace with Launchpad.",PROT
PRO99,O3 Swap,"O3 Swap is a cross-chain aggregation protocol, allowing users to access multi-chain liquidity sources on one platform.",O3
PRO100,Globe,Globe is a crypto derivatives exchange where institutions and consumers transact digital currencies like bitcoin via perpetual futures contract,GDT
PRO101,PolkaRare,"PolkaRARE is a web3 economy that allows any user or a brand to create, trade, and discover NFTs. By leveraging NFT's provable scarcity, transferability, and polkarare’s offerings, we aim to unlock the maximum potential of NFTs.",PRARE
PRO102,Mercurial Finance,Dynamic vaults for stable assets on Solana. Focused on low slippage swaps and maximizing capital utilization.,MER
PRO103,SingularityDAO,"SingularityDAO is a Decemberentralised platform, governed by the SDAO token, tasked with governing DynaSets.",SDAO
PRO104,LaunchX,"Launch X is a one of it's kind Launchpad with a unique functionality and governance model previously unseen in the industry. The platform focuses on the issuance of tokens, cross-chain synthetic staking, interoperability and more exciting cross-chain features in development.",LNCHX
PRO105,Pinknode,Pinknode is the first Polkadot-based Infrastructure-as-a-Service project with the goal of accelerating adoption and empowering inNovemberators to create the most promising Web 3.0 meta protocol.,PNODE
PRO106,Moma Protocol,"Moma Protocol is a proprietary solution to meet the growing demands for liquidity, scalability and speculation in DeFi lending Marchkets.",MOMAT
PRO107,Don-key,"Don-key is reducing the entry barrier for both yield farmers and liquidity providers, opening the DeFi world.",DON
PRO108,Ethermon.io,"Ethermon is a Decemberentralized game where you can catch, train, transform digital Monsters and trade them for real values. In Ethermon, your assets are protected thanks to the blockchain technology, they fully belong to you and will never be taken away.",EMON
PRO109,O3Labs,O3Labs is a Linking Distributed Networks & Exploring Open Finance.,O3
PRO110,Media Industry Licensing Content,"The MILC Project is under the development and supervision of Welt der Wunder TV (World
of Wonder TV) an independent entertainment free-to-air TV-network in Germany and
Switzerland, based in Munich and Zug.",MLT
PRO111,Relite.finance,Relite Finance is a cross-chain lending protocol enabling users to lend and borrow all crypto assets in one place by utilising the latest Polkadot and Ethereum frameworks.,RELI
PRO112,APENFT,"APENFT Fund was born with the mission to register world-class artworks as NFTs on-chain. It is built on top of TRON, one of the world's top three public chains, and is powered by the world's largest distributed data storage system BitTorrent.",NFT
PRO113,Drops,"From the same team that created the NFT game Node Runners, Drops is an NFT project focused on bringing scalability and utility to NFT assets. By bringing DeFi-style properties to NFT assets, users will finally be able to earn yield with and borrow against their NFTs.",DOP
PRO114,Parami Protocol,The Parami protocol is based on the Substrate blockchain development framework and the Polkadot cross-chain technology and IPFS distributed storage technology to build the next-generation digital advertising ecology.,AD3
PRO115,Polkally,"Polkally is a P2P auction platform for NFTs, powered by Substrate & IPFS.",KALLY
PRO116,ColdStack,"ColdStack is a Decemberentralized Cloud Storage Aggregator that provides a single entry point to Decemberentralized Clouds such as Filecoin, SIA, Arweave and Storj with unified API and billing. This eliminates the need for our clients to deal with different APIs and different Clouds. They can reuse existing tools or SDK clients designed for the Amazon Simple Cloud Storage (S3) API, which becomes the de-facto standard for the data storage industry. They also can combine multiple Decemberentralized Clouds in one dApp.",CLS
PRO117,Fear NFT Games,Fear NFTs is a blockchain-based horror gaming and entertainment brand forged by the famous Whack It series developers. The 6-year old game studio has had over 1M players and over 270M YT Views.,FEAR
PRO118,Paralink Network,"Paralink is a real world data ingress for cross chain applications. Its purpose is to collect, validate, aggregates and interpolate real-world datasets and feed them into sMarcht contracts on Ethereum and Polkadot.",PARA
PRO119,NFTMarcht,NFTMarcht is committed to becoming the world's most professional NFT Decemberentralized trading Marchket.,NMT
PRO120,Centrifuge,The untapped multi-trillion dollar Marchket of real-world assets (RWA) is now entering Decemberentralized Finance (DeFi) through Centrifuge: the first protocol to connect DeFi to the real-world.,CFG
PRO121,DAOSquare,"DAOSquare is the most influencial DAO in the east, it was born from MetaCartel, the famous Ethereum community.",RICE
PRO122,Launchpool,"Launchpool is to connect the varied stakeholders of the crypto community. Together, new projects can leverage a wealth of knowledge and expertise to maximise progress and most importantly, adoption. Launchpool does this by aligning and incentivising all stakeholders in a transparent way. Benefits accrue to the same participants that provide their strengths in a common endeavour; endeavour rewards for active community engagement galvanises those seeking to achieve the most and re-enforces their ability to do so. The disbursement of endeavour rewards is expected to eventually be administered by a DAO.",LPOOL
PRO123,CryptoTycoon,CryptoTycoon is a monopoly game built on Binance SMarcht Chain (BSC).,CTT
PRO124,CROP Finance,"CROP Finance is the first of its kind community-owned, automated, cross-chain, liquidity management, risk-reducing, yield farming platform.",CROP
PRO125,dotmoovs,dotmoovs is the first crypto mobile worldwide competitive environment.,MOOV
PRO126,KalMarch,KalMarch is a Decemberentralised one-stop platform on Binance SMarcht Chain.,KALM
PRO127,Freela,Freela is a first-of-its-kind DeFi powered and self-governing DAO designed to act as a Decemberentralized broad platform for freelancing transactions.,FREELA
PRO128,B-cube.ai,"B-cube.ai is a Marchketplace of premium quality crypto trading bots driven by AI, Quant & Mathematical models.",BCUBE
PRO129,Charged Particles,Charged Particles is a protocol that allows users to deposit ERC-20 tokens (ANY tokens) into an NFT.,IONX
PRO130,The Dapp List,Our mission is to pave the growth of adoption - this happens when the users feel confident to explore the blockchain space & devs are supported to build the future of Decemberentralization.,WISE
PRO131,Saito,"Saito is an open network layer that delivers web3 to users. Applications on Saito can run without closed plugins, private APIs and non-open infrastructure.",SAITO
PRO132,Virtue Poker,"Virtue Poker is a Decemberentralized poker platform that uses the Ethereum blockchain and peer-to-peer networking to provide an online poker site that’s safe, honest and fun.",VPP
PRO133,Lossless,"Implemented into the token, the Lossless protocol allows to freeze and retrieve any fraudulent transaction based on a set of hack identification parameters.",LSS
PRO134,Ternoa,"Ternoa is a blockchain geared towards long term data storage, encryption and transmission based on different protocols, built on substrate. its ecosystem already comprises dapps for b2c and b2b use cases.",CAPS
PRO135,Manifold Finance,Manifold Finance is a middleware and aggregation solutions for platforms.,FOLD
PRO136,SolPAD,Solpad is an AIO Platform built natively on Solana with true multichain support.,SOLPAD
PRO137,Bitbook Travel,BitBook is the travel platform where people can book accommodation and earn tokens in the process.,BBT
PRO138,Vega Protocol,"Vega is a proof-of-stake blockchain, built on top of Tendermint, which makes it possible to trade derivatives on a Decemberentralised network with comparable experience to centralised exchanges.",VEGA
PRO139,Cryption Network,Cryption Network aims to make the onboarding process simpler for retail users,CNT
PRO140,Mozik,Mozik is a Decemberentralized music NFT platform aiming to build a healthier and fairer music ecosystem.,MOZ
PRO141,Shield,"Shield devotes to developing a trustless, censorship-resistant and accessible protocol based on a fully non-cooperative game—the next generation of global derivative infrastructure.",SLD
PRO142,DeltaTheta,DeltaTheta is a peer-to-peer asset option trading platform.,DLTA
PRO143,Phuture,Phuture is a Decemberentralised protocol built for the creation and investment of token based passive investment strategies in a Web3 environment.,PHTR
PRO144,NiiFi,NiiFi is an ecosystem of DeFi solutions targeting mass adoption.,NIIFI
PRO145,Stratos,"Stratos is the next generation of Decemberentralized Data Mesh that provides scalable, reliable, self-balanced storage, database, and computation network.",STOS
PRO146,Hypersign,Hypersign is a cross-chain Identity protocol and whitelisting solution built on Polkadot & Ethereum.,HID
PRO147,Cryptocurrencies.AI,Cryptocurrencies.AI is both a next generation centralized exchange and a lightning fast DEX on Solana. It offers spot and futures trading and much more.,CCAI
PRO148,MoonStarter,MoonStarter mission is to be the single-stop multi-chain launchpad for selected projects without distinction of the blockchain used.,MNST
PRO149,Octoberopus Protocol,"Octoberopus Protocol, a robust DeFi protocol built on the Binance SMarcht Chain (BSC), allows issuance, trade, and management of Decemberentralized derivative assets.",OPS
PRO150,Formation Fi,Formation Fi is bringing cross-chain risk parity sMarcht farming to the world of Decemberentralized finance.,FORM
PRO151,ZKCHAOS,"ZKCHAOS is the first Decemberentralized privacy protocol to enhance privacy for all kind of cryptocurrency through multiple fair games. It means there is a large number of transaction volume contributed by platform players, not mixers.",CHAOS
PRO152,iBetYou,iBetYou is a Decemberentralized betting protocol that enables users to bet and earn incentives through participation.,IBY
PRO153,Moonfarm Finance,Moonfarm is a new Yield Farming Optimization like Yearn Finance or Auto Farm but in the term of CeDeFi - a technology that brings together the best features of CeFi and DeFi.,MFO
PRO154,Swarm,Swarm is a system of peer-to-peer networked nodes that create a Decemberentralized storage and communication service.,BZZ
PRO155,Faraland,"Faraland is a play-to-earn turn-based strategy and RPG game with NFT elements at its core. It’s a game with solid, exciting gameplay fundamentals and an engaging storyline.",FARA
PRO156,HoDooi.com,"HoDooi.com is a multi-chain NFT Marchketplace to create, buy, sell and re-sell digitised goods.",HOD
PRO157,Meme.com,Meme.com is a platform where explorers meet to share their meme discoveries and creations.,MEM
PRO158,Bullperks,BullPerks is a community of like-minded individuals who want to leverage their power and invest together in the best projects on equal terms with VCs.,BLP
PRO159,Integral,"Integral is a DEX: building the last DEX, that belongs to the people.",ITGR
PRO160,Pera Finance,Pera Finance is a groundbreaking Decemberentralized trading and yield farming protocol.,PERA
PRO161,Spherium,"Spherium offers a complete suite of financial services comprising a universal wallet, token swap platform, money Marchkets, and inter-blockchain liquidity transfer.",SPHRI
PRO162,Human Protocol,Human protocol is a new way for people and machines to work together. It provides a way to ask questions that machines cannot answer without human help.,HMT
PRO163,Trace Network,"Trace Network is a unique business model that is packaged as an enterprise-grade, proof-of-stake, permissionless protocol for supply chain, data management, trade settlement and financing powered by DeFi and NFTs.",TRACE
PRO164,PolyPAD Network,PolyPAD Network is the first Polygon’s Decemberentralized IDO and incubation platform which aims to empower projects with fundraising ability while developing loyal users.,MPAD
PRO165,NFTb,"NFT Marchketplace and digital goods built for speed and affordability on the Binance SMarcht Chain (BSC), where NFTs meets DeFi.",NFTB
PRO166,Dot.Finance,Dot.Finance is a new DeFi platform designed to incentivize the growth of the Polkadot ecosystem.,PINK
PRO167,Karura,"Karura is the Decemberentralized financial hub of Kusama, a scalable multi-chain network for radical inNovemberation and early-Polkadot deployments.",KAR
PRO168,Nabox,Nabox is a Cross-chain DeFi wallet with DID capabilities built for Web 3.0.,NABOX
PRO169,Bunicorn,Bunicorn is an automated Marchket-making (AMM) Decemberentralized exchange (DEX) currently on the Binance SMarcht Chain (BSC) network.,BUNI
PRO170,TribeOne,"TribeOne is the first AI-powered Decemberentralized platform providing NFT funding, Borrowing, Lending & Savings.",HAKA
PRO171,Dopex,Dopex is a Decemberentralized options protocol which aims to maximize liquidity and minimize losses for option writers while maximizing gains for option buyers - all in a passive manner for liquidity contributing participants.,DPX
PRO172,Plutos Network,Plutos Network is a multi-chain synthetic issuance & derivative trading platform which introduces mining incentives and Staking rewards to users.,PLUT
PRO173,Regen Network,"Regen Network Is a Global Marchketplace and Contracting Platform for Earth's Ecosystem Assets, Services, and Data.",REGEN
PRO174,VitaDAO,VitaDAO is a new cooperative vehicle for community-governed and Decemberentralized drug development.,VITA
PRO175,Efinity,"Enjin is developing Efinity, a next-generation blockchain for digital assets, built on Polkadot.",EFI
PRO176,Automata,Automata Network is a Decemberentralised service protocol that provides privacy middleware.,ATA
PRO177,ProjectX,ProjectX is a NFT + DeFi powered app providing NFT holders with liquidity and traders exposure to NFTs without directly purchasing the asset.,XIL
PRO178,Shirtum,"Shirtum is a global Marchketplace of digital assets, for Players to share their stories with fans and invite them to join in collecting digital sports memorabilia directly from their idols.",SHI
PRO179,Qredo,"Qredo is a deep tech, DeFi infrastructure, instant cross-chain settlement, empowering traders and asset managers.",QRDO
PRO180,Infinity Pad,"Infinity Pad is the dominant launchpad on BSC, with built-in compliance, fiat support, audited contracts, trustless escrow, and many liquidity supporting tools.",IPAD
PRO181,OpenOcean,OpenOcean is entrance for efficient one-stop crypto asset trading that guarantees the best price on Marchket while enjoying low fees.,OOE
PRO182,Decemberubate,Decemberubate is a community-powered investment platform for blockchain projects.,DCB
PRO183,Klaytn,Klaytn seeks to serve as a public blockchain platform providing an easy UX and development environment in order to convey the value of blockchain technology.,KLAY
